Order,Family,Subfamily,Genus,Species,tiplabel_WalterPyron2019,match_WalterPyron2019,Field_number,MSP_name,Life_stage,Sex,Expedition
Anura,Bufonidae,NA,Rhaebo,guttatus,Rhaebo_guttatus,exact,MW 11187,SMOOTH SIDED TOAD,adult,unknown,FrenchGuiana_Apr-2018
Anura,Leptodactylidae,Leptodactylinae,Leptodactylus,knudseni,Leptodactylus_knudseni,exact,MW 9968,SO-AMERICAN-BULLFROG,adult,unknown,FrenchGuiana_Apr-2018
Anura,Bufonidae,NA,Rhinella,margaritifer,Rhinella_margaritifera,exact,MW 11115,SO. AM. COMMON TOAD,adult,unknown,FrenchGuiana_Apr-2018
Anura,Hylidae,Cophomantinae,Boana,calcarata,Hypsiboas_calcaratus,exact,MW 11133,SPIKE HEELED TREE FROG,adult,unknown,FrenchGuiana_Apr-2018
Anura,Hylidae,Lophyohylinae,Osteocephalus,taurinus,Osteocephalus_taurinus,exact,MW 11103,TAURINUS BONE HEAD,adult,unknown,FrenchGuiana_Apr-2018
Anura,Leptodactylidae,Leptodactylinae,Leptodactylus,mystaceus,Leptodactylus_mystaceus,exact,MW 11105,WHITE LIPPED FROG,adult,unknown,FrenchGuiana_Apr-2018
Anura,Craugastoridae,Ceuthomantinae,Pristimantis,zeuctotylus,Pristimantis_zeuctotylus,exact,MW 11112,Z RAINFROG,adult,unknown,FrenchGuiana_Apr-2018
Anura,Bufonidae,NA,Nectophryne,afra,Nectophryne_afra,exact,RCB 0923,ARBOREAL_TOAD,adult,unknown,Gabon_Dec-2017
Anura,Rhacophoridae,Rhacophorinae,Chiromantis,rufescens,Chiromantis_rufescens,exact,RCB 0996,FOAM_NEST_FROG,adult,unknown,Gabon_Dec-2017
Anura,Hyperoliidae,NA,Afrixalus,dorsalis,Afrixalus_dorsalis,exact,RCB 0968,LEAF FOLDING FROG,adult,unknown,Gabon_Dec-2017
Anura,Arthroleptidae,Arthroleptinae,Arthroleptis,poecilonotus,Arthroleptis_poecilonotus,exact,RCB 0960,LEAF_LITTER_FROG,adult,unknown,Gabon_Dec-2017
Anura,Arthroleptidae,Leptopelinae,Leptopelis,aubryi,Leptopelis_aubryi,exact,RCB 0922,LEPTO_TREE_FROG,adult,unknown,Gabon_Dec-2017
Anura,Phrynobatrachidae,NA,Phrynobatrachus,auritus,Phrynobatrachus_auritus,exact,RCB 0978,PHRYNO_FROG,adult,unknown,Gabon_Dec-2017
Anura,Hyperoliidae,NA,Hyperolius,adspersus,Hyperolius_adspersus,exact,RCB 0945,REED_FROG_1,adult,unknown,Gabon_Dec-2017
Anura,Hyperoliidae,NA,Hyperolius,olivaceus,Hyperolius_cinnamomeoventris,sub,RCB 0958,REED_FROG_2,adult,unknown,Gabon_Dec-2017
Anura,Hyperoliidae,NA,Hyperolius,platyceps,Hyperolius_platyceps,exact,RCB 0970,REED_FROG_3,adult,unknown,Gabon_Dec-2017
Anura,Hyperoliidae,NA,Hyperolius,phantasticus,Hyperolius_phantasticus,exact,RCB 0988,REED_FROG_4,adult,unknown,Gabon_Dec-2017
Anura,Bufonidae,NA,Amietophrynus,regularis,Amietophrynus_regularis,exact,RCB 0917,REGULARIS TOAD,adult,unknown,Gabon_Dec-2017
Anura,Ptychadenidae,NA,Ptychadena,perreti,Petropedetes_perreti,exact,RCB 0954,ROCKET_FROG,adult,unknown,Gabon_Dec-2017
Anura,Dicroglossidae,Dicroglossinae,Hoplobatrachus,occipitalis,Hoplobatrachus_occipitalis,exact,RCB 0963,WATER FROG,adult,unknown,Gabon_Dec-2017
Anura,Ranidae,NA,Hylarana,albolabris,Hylarana_albolabris,exact,RCB 0943,WHITE-LIPPED FROG,adult,unknown,Gabon_Dec-2017
Anura,Pipidae,NA,Xenopus,epitropicalis,Xenopus_epitropicalis,exact,RCB 0908,XENOPUS_EPI,adult,unknown,Gabon_Dec-2017
Anura,Mantellidae,Boophinae,Boophis,erythrodactylus,Boophis_erythrodactylus,exact,JWS 884,BRIGHT EYED BOOPHIS,adult,unknown,NHM-Nov-2018
Anura,Ceratophryidae,,Lepidobatrachus,laevis,Lepidobatrachus_laevis,exact,JWS 890,BUDGET FROG,adult,unknown,NHM-Nov-2018
Anura,Microhylidae,Microhylinae,Kaloula,pulchra,Kaloula_pulchra,exact,JWS 891,ENG. CHUBBY FROG,adult,unknown,NHM-Nov-2018
